x	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24
1	0.688878894	0.702928007	0.588010192	0.564732134	0.599606097	0.602561355	0.709183693	0.700892866	0.642560124	0.530773938	0.649234712	0.765625	0.659005463	0.604968011	0.645408154	0.783482134	0.655561745	0.586305678	0.65688777	0.792410731	0.62701267	0.59654206	0.725765288	0.792410731
2	0.559039176	0.65320766	0.743622422	0.625	0.389606059	0.432403803	0.859056115	0.850446403	0.363920629	0.342396826	0.869897962	0.866071403	0.492692471	0.40802747	0.824617326	0.845982134	0.442560494	0.423268646	0.873086751	0.886160731	0.418819517	0.387808025	0.878826559	0.890625
3	0.466567069	0.646801591	0.806122422	0.633928597	0.276369065	0.306484044	0.901147962	0.908482134	0.25363791	0.237084955	0.910076559	0.901785731	0.325085729	0.274532735	0.890943885	0.912946403	0.343408048	0.388120323	0.901147962	0.908482134	0.299922466	0.259856761	0.907525539	0.912946403
4	0.410526901	0.556185126	0.825892866	0.743303597	0.2296758	0.235717058	0.921556115	0.912946403	0.187449336	0.216967776	0.938775539	0.915178597	0.226483807	0.219941542	0.925382674	0.917410731	0.269650728	0.359316051	0.940051019	0.904017866	0.215272456	0.22515206	0.933035731	0.919642866
5	0.334568322	0.525210083	0.871173441	0.761160731	0.183034405	0.208770961	0.931760192	0.919642866	0.171795517	0.232526854	0.948341846	0.915178597	0.196537331	0.176103681	0.93813777	0.9375	0.248333052	0.342222691	0.939413249	0.888392866	0.196731746	0.196373224	0.934311211	0.935267866
6	0.309970677	0.513020217	0.883928597	0.756696403	0.169616073	0.194529265	0.93813777	0.928571403	0.152631864	0.221462891	0.954081655	0.912946403	0.187316403	0.188524112	0.93813777	0.941964269	0.229454815	0.349244982	0.947704077	0.921875	0.172998071	0.157506704	0.953443885	0.964285731
7	0.287480295	0.468950659	0.893494904	0.787946403	0.148584157	0.162881821	0.944515288	0.946428597	0.139676988	0.162503749	0.952806115	0.939732134	0.155315161	0.181580335	0.948341846	0.939732134	0.193450987	0.295230627	0.957908154	0.930803597	0.160788044	0.180271059	0.961096942	0.944196403
8	0.273439765	0.442884922	0.893494904	0.787946403	0.150829837	0.156584144	0.942602038	0.939732134	0.10954202	0.163331404	0.96938777	0.939732134	0.144888267	0.146913677	0.947066307	0.957589269	0.203690708	0.278132945	0.950892866	0.933035731	0.126724288	0.143965885	0.970025539	0.964285731
9	0.259396762	0.40803507	0.901785731	0.819196403	0.133256704	0.149835065	0.957270384	0.948660731	0.121188395	0.141277164	0.961734712	0.959821403	0.128863633	0.158342451	0.959183693	0.944196403	0.162801266	0.267531484	0.970663249	0.939732134	0.133122176	0.15349032	0.970025539	0.953125
10	0.213687643	0.402550787	0.927933693	0.828125	0.116669558	0.138982832	0.961734712	0.950892866	0.094457053	0.217295051	0.973214269	0.921875	0.13347739	0.140581533	0.956632674	0.944196403	0.156773567	0.242391825	0.96875	0.944196403	0.106757984	0.146237776	0.975765288	0.957589269
11	0.217364699	0.374177903	0.917091846	0.854910731	0.084286444	0.144948766	0.977678597	0.926339269	0.105698265	0.158340439	0.965561211	0.944196403	0.122064911	0.144309506	0.961734712	0.946428597	0.158056572	0.253328532	0.963010192	0.944196403	0.106690161	0.15195246	0.977678597	0.953125
